first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Kyle,Walker-Peters,0,3,28,374,4,104.9,107.4,20,4,112,23.1,2,0,1,0.7,42,358
Davinson,Sánchez,1,2,78,1941,22,60.3,454.2,183,4,412,70,6,0,2,1.6,58,359
Serge,Aurier,0,2,24,562,9,108.4,151.6,45,0,116,30.5,2,0,1,0.5,57,360
Eric,Dier,3,0,56,1504,18,150.1,363.4,121,3,269,63.6,5,0,4,0.9,47,361
Mousa,Dembélé,0,0,14,512,6,17.5,51,1,0,74,7.1,1,0,1,0.7,49,362
Erik,Lamela,4,4,67,965,12,339.9,263.8,441,5,231,104.1,4,0,2,0.3,59,363
Christian,Eriksen,8,12,161,2770,37,1148.7,876,801,15,675,283,8,0,3,7.7,92,364
Bamidele,Alli,5,4,94,1822,21,436.6,467.2,681,8,356,158.5,8,0,4,2.5,88,365
Victor,Wanyama,1,0,24,511,4,45,113.2,80,2,105,23.9,3,0,2,0.1,49,366
Heung-Min,Son,12,8,159,2033,23,508,690.6,1002,17,489,219.9,10,1,2,10.6,86,367
Harry,Winks,1,0,53,1589,17,168.6,268.2,71,3,275,50.7,6,0,4,0.1,55,368
Moussa,Sissoko,0,3,76,2329,28,380.7,329,193,3,395,90.2,11,0,2,0.3,49,369
Lucas,Rodrigues Moura da Silva,10,2,131,2115,18,415.6,556.4,650,8,340,161.9,14,0,3,11.9,69,370
Fernando,Llorente,1,4,41,681,8,189.5,138,307,3,104,63.1,2,0,2,1.5,51,371
Harry,Kane,17,6,160,2423,31,430,824.6,1359,24,561,261.3,9,0,5,12.4,126,372
Georges-Kévin,Nkoudou,0,1,4,4,0,14.3,19,0,0,17,3.3,0,0,0,0,48,497
Luke,Amos,0,0,1,2,0,0.1,2.2,0,0,3,0.2,0,0,0,0.1,43,523
Paulo,Gazzaniga,0,0,13,270,2,0,82.8,0,0,64,8.2,1,0,0,0,45,536
Alfie,Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,538
Oliver,Skipp,0,0,12,214,1,20.5,35.2,12,0,40,7,2,0,0,0,45,540
Juan,Foyth,1,0,35,888,12,59.8,248.6,53,4,172,36.3,3,1,3,0.2,50,549
Timothy,Eyoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,561
Kazaiah,Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,578
George,Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,612
Vincent,Janssen,0,0,3,36,0,1.6,6.2,57,0,4,6.5,0,0,0,0.1,45,614
Heurelho,Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,42,373
Pontus,Dahlberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,374
Younes,Kaboul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,375
Craig,Cathcart,3,0,93,3095,54,25.5,719.6,262,5,552,100.8,6,0,2,3.2,45,376
Sebastian,Prödl,0,0,1,13,0,0,0,0,0,2,0,0,0,0,0.1,42,377
José,Holebas,3,7,93,2392,41,598.2,642.4,164,10,437,140.6,5,1,12,7.9,48,378
Miguel,Britos,0,0,3,184,5,0.3,28.4,0,0,22,2.9,0,0,0,0,43,379
Christian,Kabasele,0,0,36,1584,29,24,355.2,189,1,212,56.7,3,1,2,0.3,44,380
Daryl,Janmaat,0,2,50,1520,22,212.2,346.2,118,6,274,67.8,3,0,3,0.4,49,381
Adrian,Mariappa,0,0,57,1924,32,61.9,404.6,79,2,334,54.5,5,0,3,0.6,42,382
Francisco,Femenía Far,1,1,66,2043,40,252.9,420.2,87,6,412,76,4,0,1,1.2,42,383
Marvin,Zeegelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,384
Marc,Navarro,0,0,2,84,3,5.3,16,2,0,12,2.3,0,0,0,0,42,385
Adam,Masina,0,1,26,1002,20,70.8,201,27,1,165,30.1,2,0,5,0.1,43,386
Nathaniel,Chalobah,0,0,10,265,7,20.2,35.6,31,0,42,8.8,0,0,2,0.1,44,387
